individual_id,jar,species,treatment,week,final_length,initial_length,final_width,initial_width
3Rd,53,Pacific,8.0C,0,1.17,1.17,0.88,0.88
3Rd,57,Olympia,7.7C,0,1.6,1.6,1.22,1.22
3Rd,57,Pacific,7.7C,0,1.36,1.36,0.94,0.94
3Rd,73,Olympia,8.0A0.2,0,1.36,1.36,1.12,1.12
3Rd,73,Pacific,8.0A0.2,0,1.65,1.65,1.3,1.3
3Rd,81,Olympia,8.0A0.2,0,1.06,1.06,0.78,0.78
3Rd,81,Pacific,8.0A0.2,0,1.53,1.53,1.14,1.14
3Si,53,Pacific,8.0C,0,1.51,1.51,0.95,0.95
3Si,57,Olympia,7.7C,0,1.79,1.79,1.64,1.64
3Si,57,Pacific,7.7C,0,1.59,1.59,1.04,1.04
3Si,73,Olympia,8.0A0.2,0,1.45,1.45,1.14,1.14
3Si,73,Pacific,8.0A0.2,0,0.96,0.96,0.71,0.71
3Si,81,Olympia,8.0A0.2,0,1.4,1.4,1.18,1.18
3Si,81,Pacific,8.0A0.2,0,1.61,1.61,1.24,1.24
1Bk,1,Olympia,7.7A0.2,2,1.13,1.48,0.96,1.21
1Bk,1,Pacific,7.7A0.2,2,NA,1.85,NA,1.3
1Bk,2,Olympia,8.0C,2,1.88,1.87,1.59,1.52
1Bk,2,Pacific,8.0C,2,NA,1.46,NA,1.04
1Bk,3,Olympia,8.0A0.2,2,NA,1.13,NA,1.04
1Bk,3,Pacific,8.0A0.2,2,1.41,1.39,1.13,1.11
1Bk,5,Olympia,8.0A0.2,2,1.23,1.58,0.87,1.11
1Bk,5,Pacific,8.0A0.2,2,NA,1.46,NA,0.99
1Bk,6,Olympia,7.7C,2,1.87,1.74,1.59,1.58
1Bk,6,Pacific,7.7C,2,NA,1.21,NA,1.14
1Bk,16,Olympia,7.7A0.5,2,1.46,1.38,0.96,1.01
1Bk,16,Pacific,7.7A0.5,2,1.42,1.41,0.9,0.87
1Bk,17,Olympia,7.7A0.2,2,1.48,1.4,1.11,1.11
1Bk,17,Pacific,7.7A0.2,2,0.74,0.7,0.57,0.55
1Bk,20,Olympia,7.7C,2,1.57,1.58,1.21,1.23
1Bk,20,Pacific,7.7C,2,0.97,0.96,0.77,0.79
1Bk,22,Olympia,8.0C,2,1.25,1.25,1,0.99
1Bk,22,Pacific,8.0C,2,0.95,0.96,0.73,0.71
1Bk,24,Olympia,7.7A0.5,2,1.2,1.24,0.9,0.95
1Bk,24,Pacific,7.7A0.5,2,1.1,1.12,0.66,0.7
1Bk,25,Olympia,8.0A0.2,2,1.62,1.67,1.25,1.2
1Bk,25,Pacific,8.0A0.2,2,1.42,1.47,0.93,0.97
1Bk,28,Olympia,8.0A0.2,2,1.15,1.17,0.86,0.87
1Bk,28,Pacific,8.0A0.2,2,0.97,0.92,0.76,0.71
1Bk,38,Olympia,8.0C,2,1.12,1.11,0.98,0.94
1Bk,38,Pacific,8.0C,2,1.37,1.3,1.14,1.11
1Bk,39,Olympia,7.7A0.5,2,1.28,1.24,0.84,0.86
1Bk,39,Pacific,7.7A0.5,2,1.21,NA,0.85,NA
1Bk,42,Olympia,7.7A0.2,2,1.65,1.58,1.22,1.22
1Bk,42,Pacific,7.7A0.2,2,1.1,1.09,0.79,0.77
1Bk,43,Olympia,7.7C,2,1.21,1.19,1,0.97
1Bk,43,Pacific,7.7C,2,0.97,0.95,0.72,0.72
1Bk,51,Olympia,8.0C,2,NA,1.13,NA,0.91
1Bk,52,Olympia,7.7A0.2,2,NA,1.23,NA,0.89
1Bk,54,Olympia,8.0C,2,1.23,1.35,1,1.04
1Bk,55,Olympia,7.7A0.2,2,1.06,1.25,0.95,1.13
1Bl,1,Olympia,7.7A0.2,2,1.06,1.3,0.8,0.98
1Bl,1,Pacific,7.7A0.2,2,NA,1.56,NA,1.31
1Bl,2,Olympia,8.0C,2,1.34,1.35,0.93,0.99
1Bl,2,Pacific,8.0C,2,1.93,1.94,1.31,1.29
1Bl,3,Olympia,8.0A0.2,2,1.34,1.3,1.02,1
1Bl,3,Pacific,8.0A0.2,2,1.57,1.62,1.01,0.95
1Bl,5,Olympia,8.0A0.2,2,1.21,1.44,0.8,0.99
1Bl,5,Pacific,8.0A0.2,2,NA,1.13,NA,0.75
1Bl,6,Olympia,7.7C,2,1.17,1.17,0.85,0.9
1Bl,6,Pacific,7.7C,2,1.59,1.37,1.35,1
1Bl,16,Olympia,7.7A0.5,2,1.2,1.18,0.92,0.88
1Bl,16,Pacific,7.7A0.5,2,1.14,1.14,0.91,0.86
1Bl,17,Olympia,7.7A0.2,2,1.22,1.21,0.97,0.98
1Bl,17,Pacific,7.7A0.2,2,1.17,1.07,0.96,0.89
1Bl,20,Olympia,7.7C,2,1.5,1.57,1.08,1.08
1Bl,20,Pacific,7.7C,2,1.07,1.07,1.01,0.87
1Bl,22,Olympia,8.0C,2,1.38,1.33,0.95,0.9
1Bl,22,Pacific,8.0C,2,0.98,0.96,0.72,0.73
1Bl,24,Olympia,7.7A0.5,2,1.12,1.18,0.88,0.94
1Bl,24,Pacific,7.7A0.5,2,1.3,1.05,0.98,0.75
1Bl,25,Olympia,8.0A0.2,2,1.65,1.63,1.26,1.26
1Bl,25,Pacific,8.0A0.2,2,0.8,0.9,0.63,0.73
1Bl,28,Olympia,8.0A0.2,2,1.67,1.36,1.24,1.03
1Bl,28,Pacific,8.0A0.2,2,0.82,0.78,0.59,0.52
1Bl,38,Olympia,8.0C,2,1.27,1.23,1.03,1.01
1Bl,38,Pacific,8.0C,2,0.99,0.92,0.91,0.87
1Bl,39,Olympia,7.7A0.5,2,1.12,1.16,0.97,0.97
1Bl,39,Pacific,7.7A0.5,2,1.03,1.07,0.83,0.84
1Bl,42,Olympia,7.7A0.2,2,1.47,1.45,1.13,0.87
1Bl,42,Pacific,7.7A0.2,2,1.34,0.91,0.82,0.74
1Bl,43,Olympia,7.7C,2,1.68,1.65,1.5,1.26
1Bl,43,Pacific,7.7C,2,1.1,0.97,0.74,0.75
1Bl,51,Olympia,8.0C,2,1.38,1.34,1.07,1.06
1Bl,51,Pacific,8.0C,2,1.09,0.88,1.06,0.73
1Bl,52,Olympia,7.7A0.2,2,1.52,1.63,0.97,1.06
1Bl,52,Pacific,7.7A0.2,2,0.78,0.79,0.51,0.51
1Bl,54,Olympia,8.0C,2,1.32,1.32,1,1.02
1Bl,54,Pacific,8.0C,2,1.07,0.93,0.93,0.79
1Bl,55,Olympia,7.7A0.2,2,0.99,1.14,0.73,0.87
1Bl,55,Pacific,7.7A0.2,2,NA,1.02,NA,0.83
1Bl,61,Olympia,7.7A0.5,2,1.56,1.55,1.22,1.25
1Bl,61,Pacific,7.7A0.5,2,1.12,1.1,0.9,0.85
1Bl,63,Olympia,7.7C,2,1.32,1.41,0.97,1.02
1Bl,63,Pacific,7.7C,2,NA,1.02,NA,0.62
1Bl,69,Olympia,8.0A0.2,2,1.49,1.43,1.1,1.09
1Bl,69,Pacific,8.0A0.2,2,1.03,1.05,0.82,0.79
1Bl,71,Olympia,7.7A0.5,2,1.1,1.05,0.84,0.85
1Bl,71,Pacific,7.7A0.5,2,NA,0.91,NA,0.67
1Bl,76,Olympia,7.7C,2,1.89,1.55,1.64,1.4
1Bl,76,Pacific,7.7C,2,0.99,1.01,0.74,0.79
1Gr,1,Olympia,7.7A0.2,2,1.74,1.3,1.56,0.93
1Gr,1,Pacific,7.7A0.2,2,1.84,1.9,1.24,1.29
1Gr,2,Olympia,8.0C,2,1.27,1.3,0.97,1.03
1Gr,2,Pacific,8.0C,2,1.44,1.43,1.01,1.01
1Gr,3,Olympia,8.0A0.2,2,1.84,1.83,1.37,1.36
1Gr,3,Pacific,8.0A0.2,2,1.65,1.57,1.6,1.06
1Gr,5,Olympia,8.0A0.2,2,0.93,1.21,0.86,1.13
1Gr,5,Pacific,8.0A0.2,2,NA,1.29,NA,0.78
1Gr,6,Olympia,7.7C,2,1.1,1.14,0.98,0.97
1Gr,6,Pacific,7.7C,2,1.5,1.42,1.23,1.04
1Gr,16,Olympia,7.7A0.5,2,1.62,1.6,1.24,1.19
1Gr,16,Pacific,7.7A0.5,2,1.21,1.22,0.9,0.86
1Gr,17,Olympia,7.7A0.2,2,1.23,1.25,1.13,1.14
1Gr,17,Pacific,7.7A0.2,2,1.12,1.11,0.83,0.84
1Gr,20,Olympia,7.7C,2,1.32,1.36,1.06,1.08
1Gr,20,Pacific,7.7C,2,1.07,0.94,0.78,0.64
1Gr,22,Olympia,8.0C,2,1.34,1.32,0.9,0.79
1Gr,22,Pacific,8.0C,2,0.97,NA,0.84,NA
1Gr,24,Olympia,7.7A0.5,2,1.25,1.29,0.75,0.83
1Gr,24,Pacific,7.7A0.5,2,NA,1,NA,0.57
1Gr,25,Olympia,8.0A0.2,2,1.47,1.5,0.96,1
1Gr,25,Pacific,8.0A0.2,2,0.8,0.8,0.65,0.63
1Gr,28,Olympia,8.0A0.2,2,1.1,1.12,0.83,0.81
1Gr,28,Pacific,8.0A0.2,2,1.08,0.97,0.6,0.55
1Gr,38,Olympia,8.0C,2,1.29,1.39,1.07,1.1
1Gr,38,Pacific,8.0C,2,NA,0.98,NA,0.51
1Gr,39,Olympia,7.7A0.5,2,1.57,1.13,1.31,0.94
1Gr,39,Pacific,7.7A0.5,2,0.87,0.91,0.62,0.64
1Gr,42,Olympia,7.7A0.2,2,1.74,1.42,1.27,0.96
1Gr,42,Pacific,7.7A0.2,2,1.19,0.93,0.87,0.67
1Gr,43,Olympia,7.7C,2,1.34,1.36,1.13,1.19
1Gr,43,Pacific,7.7C,2,0.95,1.02,0.99,0.63
1Gr,51,Olympia,8.0C,2,NA,1.49,NA,1.28
1Gr,51,Pacific,8.0C,2,1.32,1.36,0.92,0.99
1Gr,52,Olympia,7.7A0.2,2,1.25,1.27,0.93,0.94
1Gr,52,Pacific,7.7A0.2,2,1.09,0.93,0.9,0.69
1Gr,54,Olympia,8.0C,2,1.42,1.03,1.04,1.35
1Gr,54,Pacific,8.0C,2,1.13,0.92,1.04,0.89
1Gr,55,Olympia,7.7A0.2,2,0.96,1.12,0.77,0.9
1Gr,55,Pacific,7.7A0.2,2,0.96,0.96,0.74,0.73
1Gr,61,Olympia,7.7A0.5,2,1.19,1.23,0.84,0.87
1Gr,61,Pacific,7.7A0.5,2,1.06,1,0.79,0.73
1Gr,63,Olympia,7.7C,2,1.82,1.96,1.16,1.36
1Gr,63,Pacific,7.7C,2,NA,1.04,NA,0.85
1Gr,69,Olympia,8.0A0.2,2,1.66,1.66,1.47,1.33
1Gr,69,Pacific,8.0A0.2,2,1.02,0.99,0.69,0.65
1Gr,71,Olympia,7.7A0.5,2,1.06,1.04,0.97,0.98
1Gr,71,Pacific,7.7A0.5,2,1.15,1.11,0.94,0.92
1Gr,76,Olympia,7.7C,2,1.54,1.42,1.24,1.01
1Gr,76,Pacific,7.7C,2,1.35,1.27,0.72,0.68
1Or,1,Olympia,7.7A0.2,2,1.71,2,1.35,1.51
1Or,1,Pacific,7.7A0.2,2,1.8,1.77,1.36,1.25
1Or,2,Olympia,8.0C,2,1.78,1.79,1.55,1.6
1Or,2,Pacific,8.0C,2,NA,1.61,NA,1.42
1Or,3,Olympia,8.0A0.2,2,1.64,1.52,1.32,1.26
1Or,3,Pacific,8.0A0.2,2,1.33,1.38,1.05,1.1
1Or,5,Olympia,8.0A0.2,2,1.06,1.34,0.74,0.94
1Or,6,Olympia,7.7C,2,1.89,1.81,1.61,1.76
1Or,6,Pacific,7.7C,2,1.38,1.42,1.04,0.94
1Or,16,Olympia,7.7A0.5,2,1.47,1.47,1.12,1.12
1Or,16,Pacific,7.7A0.5,2,1.11,1.13,0.8,1.18
1Or,17,Olympia,7.7A0.2,2,1.42,1.45,1.02,1.02
1Or,17,Pacific,7.7A0.2,2,0.75,0.8,0.61,0.61
1Or,20,Olympia,7.7C,2,1.6,1.68,1.12,1.17
1Or,20,Pacific,7.7C,2,1.07,1.07,1.33,1.01
1Or,22,Olympia,8.0C,2,1.16,1.11,0.99,0.98
1Or,22,Pacific,8.0C,2,1.11,1.17,0.74,0.7
1Or,24,Olympia,7.7A0.5,2,1.17,1.28,0.84,0.91
1Or,24,Pacific,7.7A0.5,2,1.31,1.32,0.93,0.95
1Or,25,Olympia,8.0A0.2,2,1.54,1.58,1.05,1.06
1Or,25,Pacific,8.0A0.2,2,1.37,1.4,0.98,1.02
1Or,28,Olympia,8.0A0.2,2,1.47,1.41,1.04,1.02
1Or,28,Pacific,8.0A0.2,2,1.04,1,0.69,0.62
1Or,38,Olympia,8.0C,2,1.43,1.41,0.97,0.93
1Or,38,Pacific,8.0C,2,1.4,1.35,1.05,0.92
1Or,39,Olympia,7.7A0.5,2,1.11,1.11,0.91,0.92
1Or,39,Pacific,7.7A0.5,2,0.82,0.82,0.67,0.63
1Or,42,Olympia,7.7A0.2,2,1.33,1.4,1.14,0.99
1Or,42,Pacific,7.7A0.2,2,0.94,0.88,0.81,0.72
1Or,43,Olympia,7.7C,2,1.83,1.78,1.63,1.44
1Or,43,Pacific,7.7C,2,0.82,0.84,0.75,0.67
1Or,51,Olympia,8.0C,2,1.32,1.29,0.91,0.89
1Or,51,Pacific,8.0C,2,1.53,1.34,0.8,0.71
1Or,52,Olympia,7.7A0.2,2,1.38,1.36,1.09,1.1
1Or,52,Pacific,7.7A0.2,2,0.88,0.8,0.8,0.71
1Or,54,Olympia,8.0C,2,1.44,1.4,1.13,1.1
1Or,54,Pacific,8.0C,2,2.19,1.11,1.07,0.72
1Or,55,Olympia,7.7A0.2,2,1.18,1.42,1.06,1.3
1Or,55,Pacific,7.7A0.2,2,1.03,1.09,0.71,0.74
1Or,61,Olympia,7.7A0.5,2,NA,1.66,NA,1.12
1Or,61,Pacific,7.7A0.5,2,1.02,1.04,0.78,0.8
1Or,63,Olympia,7.7C,2,1.48,1.51,1.05,1.11
1Or,63,Pacific,7.7C,2,NA,0.97,NA,0.69
1Or,69,Olympia,8.0A0.2,2,1.37,1.5,0.97,1.33
1Or,69,Pacific,8.0A0.2,2,1.15,1.13,0.73,0.67
1Or,71,Olympia,7.7A0.5,2,1.25,1.21,1.11,1.2
1Or,71,Pacific,7.7A0.5,2,0.92,0.91,0.74,0.62
1Or,76,Olympia,7.7C,2,1.48,1.31,1.19,1.22
1Or,76,Pacific,7.7C,2,0.86,0.9,0.73,0.75
1Pk,1,Olympia,7.7A0.2,2,0.83,0.99,0.65,0.78
1Pk,1,Pacific,7.7A0.2,2,1.99,1.94,1.34,1.23
1Pk,2,Olympia,8.0C,2,0.96,0.97,0.8,0.83
1Pk,2,Pacific,8.0C,2,1.32,1.41,1.04,0.93
1Pk,3,Olympia,8.0A0.2,2,NA,1.2,NA,0.92
1Pk,3,Pacific,8.0A0.2,2,2.04,2.05,1.25,1.33
1Pk,5,Olympia,8.0A0.2,2,0.99,1.24,0.78,1.03
1Pk,5,Pacific,8.0A0.2,2,1.25,1.29,0.76,0.75
1Pk,6,Olympia,7.7C,2,1.06,1.17,1.03,1.04
1Pk,6,Pacific,7.7C,2,1.27,1.32,0.84,0.87
1Pk,16,Olympia,7.7A0.5,2,1.23,1.26,0.94,0.94
1Pk,16,Pacific,7.7A0.5,2,1.21,1.24,1.08,1.02
1Pk,17,Olympia,7.7A0.2,2,1.37,1.27,1.24,1.39
1Pk,17,Pacific,7.7A0.2,2,1.01,1,0.63,0.62
1Pk,20,Olympia,7.7C,2,1.29,1.34,1.16,1.11
1Pk,20,Pacific,7.7C,2,1.09,1.04,0.82,0.78
1Pk,22,Olympia,8.0C,2,1.59,1.55,1.07,1.03
1Pk,22,Pacific,8.0C,2,1.14,1.17,0.66,0.64
1Pk,24,Olympia,7.7A0.5,2,NA,1.31,NA,0.85
1Pk,24,Pacific,7.7A0.5,2,0.78,0.77,0.63,0.62
1Pk,25,Olympia,8.0A0.2,2,1.33,1.39,0.9,1
1Pk,25,Pacific,8.0A0.2,2,0.85,0.81,0.65,0.68
1Pk,28,Olympia,8.0A0.2,2,1.17,1.24,0.79,0.82
1Pk,28,Pacific,8.0A0.2,2,1.05,0.97,0.85,0.81
1Pk,38,Olympia,8.0C,2,1.12,1.08,0.99,0.86
1Pk,38,Pacific,8.0C,2,1.22,1.18,0.87,0.87
1Pk,39,Olympia,7.7A0.5,2,1.14,1.06,0.93,0.93
1Pk,39,Pacific,7.7A0.5,2,1.07,1.08,0.67,0.71
1Pk,42,Olympia,7.7A0.2,2,1.46,1.47,1.22,1.09
1Pk,42,Pacific,7.7A0.2,2,0.91,0.86,0.79,0.69
1Pk,43,Olympia,7.7C,2,1.6,1.89,1.18,1.4
1Pk,43,Pacific,7.7C,2,1.08,1.13,0.64,0.69
1Pk,51,Olympia,8.0C,2,1.25,1.2,0.96,1.01
1Pk,52,Olympia,7.7A0.2,2,1.55,1.27,1.32,1.01
1Pk,54,Olympia,8.0C,2,1.38,1.34,0.97,0.92
1Pk,55,Olympia,7.7A0.2,2,0.92,1.07,0.78,0.91
1Pu,1,Olympia,7.7A0.2,2,1.8,2.17,1.35,1.63
1Pu,1,Pacific,7.7A0.2,2,1.9,1.91,1.35,1.45
1Pu,2,Olympia,8.0C,2,1.24,NA,0.88,NA
1Pu,2,Pacific,8.0C,2,1.41,1.43,1.02,0.98
1Pu,3,Olympia,8.0A0.2,2,1.72,1.33,1.5,1
1Pu,3,Pacific,8.0A0.2,2,1.64,1.82,1.15,1.17
1Pu,5,Olympia,8.0A0.2,2,1.15,1.3,0.97,1.04
1Pu,5,Pacific,8.0A0.2,2,NA,1.11,NA,0.76
1Pu,6,Olympia,7.7C,2,1.09,1.11,0.86,0.85
1Pu,6,Pacific,7.7C,2,1.63,1.63,1.16,1.11
1Pu,16,Olympia,7.7A0.5,2,1.16,1.18,1.02,1.03
1Pu,16,Pacific,7.7A0.5,2,1.31,1.16,1.18,0.89
1Pu,17,Olympia,7.7A0.2,2,1.44,1.47,1.14,1.12
1Pu,17,Pacific,7.7A0.2,2,NA,0.81,NA,0.54
1Pu,20,Olympia,7.7C,2,1.23,1.23,0.9,0.92
1Pu,20,Pacific,7.7C,2,0.89,0.91,0.75,0.72
1Pu,22,Olympia,8.0C,2,1.33,1.19,1.05,0.82
1Pu,22,Pacific,8.0C,2,0.94,0.95,0.66,0.67
1Pu,24,Pacific,7.7A0.5,2,1.07,1.05,0.74,0.7
1Pu,25,Olympia,8.0A0.2,2,1.59,1.6,1.13,1.16
1Pu,25,Pacific,8.0A0.2,2,1.05,1.07,0.97,0.97
1Pu,28,Olympia,8.0A0.2,2,1.15,1.18,0.99,1.01
1Pu,28,Pacific,8.0A0.2,2,1.04,0.94,0.94,0.71
1Pu,38,Olympia,8.0C,2,1.07,1.03,0.84,0.81
1Pu,38,Pacific,8.0C,2,1.1,1.05,0.77,0.73
1Pu,39,Olympia,7.7A0.5,2,1.36,1.29,1.12,1.18
1Pu,39,Pacific,7.7A0.5,2,1.11,1.15,1.04,0.96
1Pu,42,Olympia,7.7A0.2,2,1.52,1.46,1.43,1.15
1Pu,42,Pacific,7.7A0.2,2,NA,0.71,NA,0.52
1Pu,43,Olympia,7.7C,2,1.44,1.42,1.05,1.05
1Pu,43,Pacific,7.7C,2,1.03,0.82,0.99,0.82
1Pu,51,Olympia,8.0C,2,1.17,1.15,0.98,0.95
1Pu,51,Pacific,8.0C,2,1.09,1.22,0.72,0.7
1Pu,52,Olympia,7.7A0.2,2,1.65,1.23,1.27,1
1Pu,52,Pacific,7.7A0.2,2,NA,0.81,NA,0.66
1Pu,54,Olympia,8.0C,2,1.5,1.52,1.08,1.1
1Pu,54,Pacific,8.0C,2,1.03,1.06,0.89,0.88
1Pu,55,Olympia,7.7A0.2,2,0.8,0.97,0.6,0.75
1Pu,55,Pacific,7.7A0.2,2,NA,0.97,NA,0.76
1Pu,61,Olympia,7.7A0.5,2,1.51,1.49,1.13,1.14
1Pu,61,Pacific,7.7A0.5,2,1.18,1.11,0.83,0.81
1Pu,63,Olympia,7.7C,2,1.44,1.57,1.11,1.18
1Pu,63,Pacific,7.7C,2,NA,0.88,NA,0.61
1Pu,69,Olympia,8.0A0.2,2,1.52,1.34,1.05,1
1Pu,69,Pacific,8.0A0.2,2,NA,1.24,NA,0.88
1Pu,71,Olympia,7.7A0.5,2,1.17,1.17,0.97,0.94
1Pu,71,Pacific,7.7A0.5,2,0.96,0.94,0.69,0.71
1Pu,76,Olympia,7.7C,2,1.65,1.63,1.15,1.14
1Pu,76,Pacific,7.7C,2,1.06,1.05,0.73,0.64
1Rd,1,Olympia,7.7A0.2,2,1.07,1.11,0.86,0.84
1Rd,1,Pacific,7.7A0.2,2,2.17,2.08,1.62,1.59
1Rd,2,Olympia,8.0C,2,1.08,1.11,0.9,0.91
1Rd,2,Pacific,8.0C,2,1.87,1.25,1.28,1.29
1Rd,3,Olympia,8.0A0.2,2,2.06,2.04,1.41,1.38
1Rd,3,Pacific,8.0A0.2,2,1.81,1.81,0.98,0.8
1Rd,5,Olympia,8.0A0.2,2,1.15,1.45,0.86,1.07
1Rd,5,Pacific,8.0A0.2,2,NA,1.12,NA,0.76
1Rd,6,Olympia,7.7C,2,1.49,1.85,1.19,1.44
1Rd,6,Pacific,7.7C,2,0.89,0.95,0.79,0.69
1Rd,16,Olympia,7.7A0.5,2,1.1,1.16,1.01,1
1Rd,16,Pacific,7.7A0.5,2,1.14,1.15,0.75,0.72
1Rd,17,Olympia,7.7A0.2,2,1.51,1.51,1.23,1.2
1Rd,17,Pacific,7.7A0.2,2,0.73,0.73,0.71,0.68
1Rd,20,Olympia,7.7C,2,1.22,1.24,1.12,1.13
1Rd,20,Pacific,7.7C,2,1.2,1.26,1.02,0.99
1Rd,22,Olympia,8.0C,2,1.35,1.35,1.04,1.13
1Rd,22,Pacific,8.0C,2,1.18,1.13,0.82,0.7
1Rd,24,Olympia,7.7A0.5,2,1.07,1.2,0.77,0.84
1Rd,24,Pacific,7.7A0.5,2,1.04,1.05,0.95,0.7
1Rd,25,Olympia,8.0A0.2,2,1.53,1.53,1.23,1.24
1Rd,25,Pacific,8.0A0.2,2,1.31,1.36,0.87,0.9
1Rd,28,Olympia,8.0A0.2,2,1.26,1.36,0.88,0.89
1Rd,28,Pacific,8.0A0.2,2,0.79,0.78,0.58,0.58
1Rd,38,Olympia,8.0C,2,1.38,1.23,0.98,0.96
1Rd,38,Pacific,8.0C,2,1.69,1.7,1.23,1.01
1Rd,39,Olympia,7.7A0.5,2,1.13,1,0.9,0.94
1Rd,39,Pacific,7.7A0.5,2,1.53,1.63,1.02,0.97
1Rd,42,Olympia,7.7A0.2,2,1.45,1.47,1.18,1.24
1Rd,42,Pacific,7.7A0.2,2,1.02,1.01,0.72,0.65
1Rd,43,Olympia,7.7C,2,1.38,1.33,1.04,0.93
1Rd,43,Pacific,7.7C,2,0.87,0.87,0.79,0.74
1Rd,51,Olympia,8.0C,2,1.46,1.44,1.32,1.29
1Rd,51,Pacific,8.0C,2,1.01,0.99,0.68,0.74
1Rd,52,Olympia,7.7A0.2,2,1.32,1.34,0.97,1.07
1Rd,52,Pacific,7.7A0.2,2,1.08,1.08,0.73,0.77
1Rd,54,Olympia,8.0C,2,1.24,1.29,1.11,1.12
1Rd,54,Pacific,8.0C,2,1.2,1.1,1.02,0.83
1Rd,55,Olympia,7.7A0.2,2,0.99,1.26,0.82,1.06
1Rd,55,Pacific,7.7A0.2,2,1.19,0.99,0.87,0.89
1Rd,61,Olympia,7.7A0.5,2,1.5,1.52,1.18,1.21
1Rd,61,Pacific,7.7A0.5,2,0.94,0.98,0.64,0.68
1Rd,63,Olympia,7.7C,2,1.19,1.22,0.9,0.92
1Rd,63,Pacific,7.7C,2,NA,0.62,NA,0.49
1Rd,69,Olympia,8.0A0.2,2,1.68,1.49,1.36,1.31
1Rd,69,Pacific,8.0A0.2,2,0.88,0.9,0.74,0.69
1Rd,71,Olympia,7.7A0.5,2,1.61,1.61,1.2,1.2
1Rd,71,Pacific,7.7A0.5,2,0.94,0.97,0.57,0.58
1Rd,76,Olympia,7.7C,2,1.59,1.4,1.37,1.33
1Rd,76,Pacific,7.7C,2,0.98,0.92,0.67,0.65
1Si,51,Olympia,8.0C,2,1.83,1.79,1.47,1.49
1Si,51,Pacific,8.0C,2,1.04,1.1,0.72,0.73
1Si,52,Olympia,7.7A0.2,2,2,1.94,1.3,1.33
1Si,52,Pacific,7.7A0.2,2,NA,0.99,NA,0.61
1Si,54,Pacific,8.0C,2,1.25,1.27,1.04,1.02
1Si,55,Pacific,7.7A0.2,2,NA,0.94,NA,0.76
1Si,61,Olympia,7.7A0.5,2,1.39,1.34,1.15,1.22
1Si,61,Pacific,7.7A0.5,2,1.11,1,0.97,0.94
1Si,63,Olympia,7.7C,2,1.75,1.82,1.55,1.6
1Si,63,Pacific,7.7C,2,NA,1.05,NA,0.75
1Si,69,Olympia,8.0A0.2,2,1.67,1.56,1.17,1.06
1Si,69,Pacific,8.0A0.2,2,1.23,1.16,0.91,0.74
1Si,71,Olympia,7.7A0.5,2,NA,1.16,NA,0.92
1Si,71,Pacific,7.7A0.5,2,0.94,0.91,0.63,0.63
1Si,76,Olympia,7.7C,2,1.32,1.23,1.2,1.11
1Si,76,Pacific,7.7C,2,1.09,1.06,0.71,0.65
1Wh,1,Olympia,7.7A0.2,2,1.72,1.37,1.38,1.17
1Wh,1,Pacific,7.7A0.2,2,1.84,1.77,1.21,1.21
1Wh,2,Olympia,8.0C,2,1.48,1.47,1.43,1.35
1Wh,2,Pacific,8.0C,2,1.26,1.1,1,0.65
1Wh,3,Olympia,8.0A0.2,2,1.43,1.44,1.14,0.96
1Wh,3,Pacific,8.0A0.2,2,NA,1.61,NA,1.06
1Wh,5,Olympia,8.0A0.2,2,0.98,1.22,0.77,0.93
1Wh,5,Pacific,8.0A0.2,2,NA,1.71,NA,1.23
1Wh,6,Olympia,7.7C,2,1.95,1.95,1.47,1.65
1Wh,6,Pacific,7.7C,2,1.94,1.41,1.79,0.98
1Wh,16,Olympia,7.7A0.5,2,1.53,1.53,1.16,1.15
1Wh,16,Pacific,7.7A0.5,2,1.01,0.99,0.63,0.58
1Wh,17,Olympia,7.7A0.2,2,1.6,1.46,1.15,1.16
1Wh,17,Pacific,7.7A0.2,2,NA,0.87,NA,0.66
1Wh,20,Olympia,7.7C,2,1.38,1.39,1.17,1.14
1Wh,20,Pacific,7.7C,2,1.26,1.2,0.72,0.72
1Wh,22,Olympia,8.0C,2,1.43,1.41,1.01,1.03
1Wh,22,Pacific,8.0C,2,1.01,0.98,0.81,0.78
1Wh,24,Olympia,7.7A0.5,2,1.16,1.24,0.92,0.95
1Wh,24,Pacific,7.7A0.5,2,NA,0.86,NA,0.64
1Wh,25,Olympia,8.0A0.2,2,1.67,1.72,1.29,1.35
1Wh,25,Pacific,8.0A0.2,2,0.82,0.83,0.6,0.63
1Wh,28,Olympia,8.0A0.2,2,1.15,1.2,0.93,0.96
1Wh,28,Pacific,8.0A0.2,2,1.29,1.21,0.84,0.78
1Wh,38,Olympia,8.0C,2,1.41,1.35,1.21,1.22
1Wh,38,Pacific,8.0C,2,1.6,1.29,1.27,0.86
1Wh,39,Olympia,7.7A0.5,2,1.36,1.23,1.04,0.99
1Wh,39,Pacific,7.7A0.5,2,1.13,0.99,0.86,0.66
1Wh,42,Olympia,7.7A0.2,2,2,2,1.41,1.31
1Wh,42,Pacific,7.7A0.2,2,1.18,1.24,0.86,0.77
1Wh,43,Olympia,7.7C,2,2.03,1.83,1.59,1.67
1Wh,43,Pacific,7.7C,2,1.1,0.97,0.86,0.8
1Wh,51,Olympia,8.0C,2,1.32,1.31,1.03,1
1Wh,51,Pacific,8.0C,2,1.33,1.35,0.94,0.93
1Wh,52,Olympia,7.7A0.2,2,1.18,1.23,0.87,0.89
