Jar,Species,Individual.ID,Initial_wetweight,Date,Treatment,Week,Whole.Organism.Weight,Shell.Weight,Tissue.Weight,Respiration,Feeding.calcification,Comments2,Comments(Amanda),Unable.to.confirm.ID,Dead,omit
53,Pacific,1Or,0.09,9/6/2019,8.0C,6,NA,0.0733,0.0102,,,,,,,wrong week
53,Pacific,1Si,0.21,9/6/2019,8.0C,6,NA,0.3,0.057,,,,,,,wrong week
53,Pacific,2Pu,0.18,9/6/2019,8.0C,6,NA,0.176,0.024,,,,,,,wrong week
57,Pacific,1Gr,0.05,9/6/2019,7.7C,6,NA,0.056,0.015,,,,,,,wrong week
57,Pacific,1Or,0.05,9/6/2019,7.7C,6,NA,0.046,0.009,,,,,,,wrong week
57,Pacific,1Rd,0.05,9/6/2019,7.7C,6,NA,NA,NA,,,dead,,,X,wrong week
57,Pacific,2Or,0.09,9/6/2019,7.7C,6,NA,0.1025,0.0265,,,,,,,wrong week
73,Pacific,1Or,0.1,9/6/2019,8.0A0.2,6,NA,0.085,0.014,,,,,,,wrong week
73,Pacific,1Rd,0.06,9/6/2019,8.0A0.2,6,NA,0.053,0.015,,, labeled 1Rd; 2Rd bag and vial; ID changed from 2Rd to 1Rd during QA/QC,,,,wrong week
73,Pacific,2Bl,0.14,9/6/2019,8.0A0.2,6,NA,0.181,0.035,,,,,,,wrong week
73,Pacific,2Or,0.06,9/6/2019,8.0A0.2,6,NA,0.061,0.01,,,shell and tissue weight also in Week 0; week 0 better corresponds to initial weights,"final ID incorrect, fixed during QA/QC",X ,,wrong week
73,Pacific,2Si,0.18,9/6/2019,8.0A0.2,6,NA,0.1,0.017,,,,,,,wrong week
73,Pacific,3Or,0.24,9/6/2019,8.0A0.2,6,NA,0.133,0.023,,,,,,,wrong week
73,Pacific,3Si,0.1,9/6/2019,8.0A0.2,6,NA,0.152,0.021,,,,,,,wrong week
73,Pacific,NA,,9/6/2019,8.0A0.2,6,NA,0.352,0.078,,,no dots,"final ID incorrect, fixed during QA/QC",X ,,wrong week
82,Pacific,1Or,0.115,9/6/2019,8.0C,6,NA,0.098,0.018,,,whole organism weight in Week 4; originally reserved for feeding/calc,,,,wrong week
82,Pacific,1Or,0.115,8/22/2019,8.0C,4,0.125,NA,NA,,X,shell and tissue data in Week 6; originally reserved for feeding/calc but not used,,,,
82,Pacific,1Si,0.132,9/6/2019,8.0C,6,NA,0.139,0.048,,,whole organism weight in Week 4; originally reserved for feeding/calc,,,,wrong week
82,Pacific,1Si,0.132,9/6/2019,8.0C,6,NA,0.139,0.048,,,whole organism weight in Week 4; originally reserved for feeding/calc,,,,wrong week
